rank,team,elo_rating,rating_date,source,source_original
92,Suriname,1431,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
93,Kazakhstan,1428,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
94,Curaçao,1427,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
95,Kurdistan,1425,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
96,China,1424,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
97,Libya,1420,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
98,Gambia,1419,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
99,Bahrain,1414,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
100,Benin,1405,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
101,Gabon,1401,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
102,Uganda,1394,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
103,Trinidad and Tobago,1386,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
103,Faroe Islands,1386,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
105,Niger,1382,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
106,Madagascar,1380,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
106,Equatorial Guinea,1380,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
108,Togo,1379,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
109,Thailand,1376,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
110,Comoros,1374,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
111,North Korea,1373,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
111,Armenia,1373,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
113,Zimbabwe,1372,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
113,Indonesia,1372,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
115,Zambia,1371,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
116,Kenya,1363,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
117,Estonia,1360,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
118,Vietnam,1351,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
119,Sudan,1350,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
120,Reunion,1346,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
121,Mozambique,1342,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
121,El Salvador,1342,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
123,Sierra Leone,1341,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
124,Guadeloupe,1338,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
125,Rwanda,1336,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
126,Nicaragua,1333,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
127,Kuwait,1332,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
128,Mauritania,1329,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
129,Zanzibar,1326,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
130,Azerbaijan,1322,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
131,Cyprus,1314,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
132,Tanzania,1313,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
133,Martinique,1312,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
134,Liberia,1304,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
135,Namibia,1303,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
136,Kyrgyzstan,1295,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
137,Malaysia,1293,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
138,Guyana,1292,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
139,Latvia,1288,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
139,Lebanon,1288,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
141,Ethiopia,1287,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
142,New Caledonia,1286,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
143,Tajikistan,1285,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
143,Burundi,1285,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
145,Dominican Republic,1283,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
146,Lithuania,1279,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
147,Moldova,1270,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
148,Botswana,1267,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
149,Malta,1255,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
150,Guinea-Bissau,1248,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
151,Cuba,1239,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
151,Malawi,1239,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
153,Central African Republic,1236,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
154,French Guiana,1221,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
155,Mayotte,1217,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
156,Turkmenistan,1209,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
157,Congo,1206,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
158,Eritrea,1201,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
159,Lesotho,1198,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
160,Yemen,1195,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
161,Tahiti,1179,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
161,Philippines,1179,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
163,Eswatini,1148,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
164,Saint Vincent and the Grenadines,1141,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
165,Papua New Guinea,1136,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
166,Puerto Rico,1135,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
167,Singapore,1134,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
168,India,1128,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
169,Vanuatu,1118,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
170,Bermuda,1117,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
171,South Sudan,1109,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
172,Fiji,1104,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
173,Hong Kong,1101,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
174,Grenada,1098,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
175,Andorra,1080,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
176,Belize,1073,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
176,Mauritius,1073,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
176,Chad,1073,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
179,Solomon Islands,1054,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
180,Saint Martin,1042,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
181,São Tomé e Príncipe,1035,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
